id,customer_id,email,account_status,account_type,created_at,updated_at
7ceba567-8192-4c82-b6ae-c6359b32bb92,400ec64f-461d-45c5-b45e-b5c8dc21b4e1,mkim@example.org,suspended,standard,2025-04-21T17:13:42,2025-04-21T17:13:42
81801649-df3b-454c-a89c-98c6b8a3a65b,d6ca3f18-6708-4e27-9196-8a2238aba9b0,astark@example.net,suspended,standard,2024-10-23T03:55:38,2024-10-23T03:55:38
10f444df-8cf8-4f5e-b0a9-8678c6c545f7,367f1e9a-938e-4d15-8ec1-50ce91fef6ce,andrew64@example.org,active,standard,2024-07-28T07:20:19,2024-07-28T07:20:19
b56be93b-cda3-4136-8f81-855ca5bf8b09,6f80c5c6-04ed-4548-83b7-aee06e3700c4,bbell@example.com,inactive,vip,2025-06-03T02:13:14,2025-06-03T02:13:14
7e37887a-ed55-4f06-b284-0a12e705813a,0855291e-0a0d-4e17-931b-beabbc173f85,brooke97@example.net,active,standard,2024-08-02T09:41:00,2024-08-02T09:41:00
a5d3c4cc-0477-442c-b9be-60a6f83b1197,b998f134-9c6e-4e5b-9a37-d0d9dbc72f85,lawrenceallen@example.org,closed,standard,2026-06-17T02:01:34,2026-06-17T02:01:34
92d04127-bd22-4504-b00e-4996056e1401,5948da4d-8a3d-4122-9885-6f62f017c7b2,johnsongeorge@example.com,active,standard,2025-07-01T10:42:40,2025-07-01T10:42:40
99714b75-1538-477c-ad19-dcca6e2b921c,5b6d3273-0554-4f9d-bc05-2157626c1ad0,trussell@example.com,active,standard,2024-05-23T23:18:03,2024-05-23T23:18:03
d76cd26c-44cf-467e-a89c-79a456aded2a,33326773-e843-48d9-9641-9990733d705a,davidtodd@example.org,active,standard,2025-08-12T04:52:26,2025-08-12T04:52:26
772cd23a-7392-4dc9-b37c-a6cb0f562c9f,543b48b5-22b5-41e4-8e3c-704fc8f03e8d,angelarandall@example.net,closed,standard,2026-06-19T17:21:46,2026-06-19T17:21:46
efff7885-4a8c-4e18-bcc1-f53b5bdb3226,4126c950-a88a-4305-895c-96d7e076897e,yfaulkner@example.org,active,standard,2024-08-19T07:55:59,2024-08-19T07:55:59
7ef51d8a-e48a-4777-97c9-de2eb711abd3,62b38185-a937-473c-b04e-833be36219e6,todd15@example.com,inactive,standard,2024-07-12T17:14:04,2024-07-12T17:14:04
a570192c-7b5a-43ab-b1cb-03f4aa08d3bf,7b4010bf-8e77-489c-83e9-0056299e9429,lewismelissa@example.org,active,standard,2024-10-13T03:20:35,2024-10-13T03:20:35
b95c2404-1658-45ac-9eba-a68a69eee1c6,1bcdbd0d-0e2f-4fdf-a8d5-214d3b49c7e2,whitney78@example.com,active,standard,2024-10-16T18:48:13,2024-10-16T18:48:13
141ead85-c929-40ba-ac6c-d8985866d282,f35eb7b6-1b25-433b-90b5-29212b72f6e2,jessica14@example.com,active,standard,2024-05-28T21:45:26,2024-05-28T21:45:26
253c8b12-2a4a-4f59-b1fc-f03dc4a57d2d,26ef1453-7eb5-4f13-9c8c-22a3f738d060,bryanhamilton@example.com,inactive,standard,2025-11-25T04:02:25,2025-11-25T04:02:25
b8e83d2a-4d72-4942-8d38-78aa20c8622f,,davidphelps@example.org,active,standard,2024-11-05T12:32:37,2024-11-05T12:32:37
0a73379d-7477-4280-9076-4f48a8e052ea,0b7ba743-6819-4540-8542-b7fa14bd996d,carolynsmith@example.com,suspended,vip,2025-07-28T06:15:53,2025-07-28T06:15:53
7183a67f-e223-4f54-adee-ae4946c1ea80,86fb0f27-e52e-40a4-8499-5f1610574213,ramirezderrick@example.org,active,standard,2024-11-25T23:07:54,2024-11-25T23:07:54
938cab81-ed6e-4926-abb8-15616fbac412,466ab61a-8180-4d06-90cc-2a380a0e6f0f,davisphillip@example.com,active,standard,2026-07-29T22:42:42,2026-07-29T22:42:42
5416944d-593b-401e-a06f-13fe282ae2d3,9e22e2d2-ef3f-4b75-8aa0-f3ae453183e1,gibbsmichael@example.net,active,standard,2025-07-10T14:45:04,2025-07-10T14:45:04
5e8b53f7-90e5-4af5-aa55-61cdafe0d5b7,aa0533fd-252b-49cb-8070-77b5c88b04ee,bradleypayne@example.net,active,standard,2025-09-15T01:21:33,2025-09-15T01:21:33
f0956b8a-092d-4334-b1d6-01d0f7b63e52,bd081d89-0320-4774-bb4c-798b6e253b0e,stokesthomas@example.com,suspended,standard,2025-09-23T06:00:38,2025-09-23T06:00:38
7b1ffee2-3505-4fa6-b1fd-22bfbb6d574d,06a161e4-302f-4ae9-b96b-2734ad33f946,nataliedeleon@example.net,active,standard,2026-03-07T20:07:04,2026-03-07T20:07:04
cd38bee0-b0a5-48cd-928c-d619459d6912,13b24541-2c78-41cb-a6b6-e8713ab9a16f,stevenschristian@example.com,suspended,standard,2024-12-30T19:46:45,2024-12-30T19:46:45
fcb9f45f-e0da-481c-83c7-2b11bfc287a5,b60e68c2-1b3c-4a8b-a056-a39fb4e6a320,susan79@example.org,active,standard,2025-10-04T19:55:51,2025-10-04T19:55:51
7d3f96e4-c7b4-4930-b134-02d236d389b2,76d2b7be-1fa1-441b-9de1-97c64d06c646,megan82@example.com,suspended,vip,2026-04-04T04:26:02,2026-04-04T04:26:02
63acc2fd-13ea-46a2-b667-15509fca19c1,066ca82d-85b8-45e6-b262-bac0bb3c0e21,michael79@example.com,active,standard,2026-07-01T06:08:47,2026-07-01T06:08:47
6ba657fb-9d2f-4b0a-9c96-acb004d7e595,7bfeca78-8e06-4644-9d0b-1470c32aa9e7,karenhudson@example.net,suspended,standard,2025-11-02T14:25:04,2025-11-02T14:25:04
62fd4475-6583-4ec8-9895-3e703ebc0e3d,1c8233dc-8ccb-4d27-84e7-e00d33ff6674,lawrencegary@example.com,closed,standard,2024-11-28T22:17:49,2024-11-28T22:17:49
ad0d43f0-aa86-4d14-aa9d-f008a0e183ab,ef097aa6-f4d9-4c16-bc17-a7cc87116f35,hebertmatthew@example.com,active,vip,2026-05-28T15:34:57,2026-05-28T15:34:57
e7dda7e0-6d2a-414d-b131-1923aa5f02d0,43df30db-068d-40fc-8576-7e2f6e62f2f6,kari39@example.net,inactive,standard,2024-08-24T07:05:45,2024-08-24T07:05:45
f43e6a3d-ae3f-46ed-9a56-9b83dba2e706,53ed5bac-fa7d-4b1d-a73c-6c2b9845c1d1,smurray@example.com,closed,standard,2025-11-27T04:16:17,2025-11-27T04:16:17
e1e7d146-07f3-4258-847d-8129fd41bc42,87fc5559-9d20-4780-8c0e-b7c248cd6236,alexisrogers@example.com,active,standard,2026-06-20T19:36:51,2026-06-20T19:36:51
7f2c4b98-6d7e-4399-aeb5-d2519fc6880d,430e5411-6ed3-439b-93c3-e885b2a37d0f,andrew44@example.com,active,standard,2025-04-10T09:47:56,2025-04-10T09:47:56
fad82a8e-dda2-42f2-abc9-7bbbc56a050f,387603c1-d2a6-475e-ab4c-9ba7aa78bb27,younggabrielle@example.com,active,standard,2025-03-24T14:53:28,2025-03-24T14:53:28
4da76ac3-cd8e-458e-ac45-fdc36b53ae45,8e312b31-712d-4fc0-84dd-27ff2b1dd09b,brittney88@example.net,suspended,standard,2025-10-16T01:36:03,2025-10-16T01:36:03
00d9c420-56c9-4839-a582-96cfd8f2dfef,6faa20a4-1e8f-43a8-9a45-33ae5f675190,frankgray@example.net,active,standard,2024-10-29T15:50:43,2024-10-29T15:50:43
054eae93-c791-451a-b78f-0cf2ecdaae63,5f8c9b91-24ee-43a2-b758-fece4c2fd787,gibsonleonard@example.com,active,vip,2024-08-30T18:28:31,2024-08-30T18:28:31
11b5a948-e5a0-4c01-bc42-7388ae104be1,758b4602-0ce0-440a-9584-ad59ce4216ad,brendastark@example.org,active,standard,2025-05-29T06:24:12,2025-05-29T06:24:12
165a1d82-9c69-435e-b892-58ec71a28344,122af8ba-58aa-4655-b297-e90d616f0bf6,jonathan77@example.com,inactive,standard,2024-09-15T01:54:54,2024-09-15T01:54:54
018f9516-3ef8-48b4-893a-7cfa9c3fd49a,ed5f2f3e-8bef-4da7-b30c-90c3fa5f40ea,danielcole@example.com,active,standard,2025-01-13T17:49:54,2025-01-13T17:49:54
c814ec3e-3796-4d19-8891-013f317dd118,661d2fc6-9fa2-4c79-9d19-44c73cb68448,gmoore@example.com,inactive,standard,2024-06-01T13:26:18,2024-06-01T13:26:18
2083e9f9-1d98-40e2-8f90-a533ebed610b,49c4bc11-2495-438d-9b87-3c395574433f,williamsdarlene@example.net,inactive,standard,2025-12-13T04:17:24,2025-12-13T04:17:24
19b11a3f-b064-4c93-b1a7-0c0a33256831,4da311cb-8e0d-487a-8fdd-4a94529db3e4,znelson@example.org,active,standard,2024-03-24T17:10:41,2024-03-24T17:10:41
cfd1720f-70e7-477b-82ea-9b4feebaa2ff,8e104807-9dc2-4625-a1b7-9d858ddd96de,ismith@example.org,closed,standard,2024-10-20T09:37:30,2024-10-20T09:37:30
2c4b6bca-a89c-4f15-936f-9b334ddcd43f,8d5fa184-5966-49ce-b3e7-4acfaba98bfd,harristonya@example.com,active,vip,2024-04-19T00:03:07,2024-04-19T00:03:07
c396cbf5-d5d1-4b4c-a6c6-b3d659fe06e7,49a68f77-776a-4b4b-b668-48e489f414ae,scottbowen@example.net,inactive,standard,2025-03-25T23:30:00,2025-03-25T23:30:00
7d00010a-c845-407f-bd18-fa8362a182c4,3c7a4cde-d92b-4d90-a731-9c0461ae8c90,jeffrey28@example.com,active,standard,2025-03-12T18:09:17,2025-03-12T18:09:17
58a1458c-0b08-43cf-971c-aa5d25e3ade8,d6de888a-0aee-4f77-a7d4-daba8f0da415,kayla51@example.com,active,standard,2026-04-24T01:26:14,2026-04-24T01:26:14
