id,first_name,last_name,email,department,job_title,employment_type,pay_type,hourly_rate_cents,annual_salary_cents,status,hire_date,termination_date
e352edd9-9089-4e5f-9dad-05bfd00ee15a,Amber,Anderson,vazquezbrandy@perkins.com,Engineering,Senior Software Engineer,full_time,salary,,11851800,active,2025-04-06,
78b0b7c7-f0e7-4836-95bc-94c640f7d2f9,Sharon,Moses,rshaffer@jackson.info,Executive,VP,contractor,hourly,4560,,active,2021-11-30,
37aa2c6b-5c5d-406e-8dbb-ad5a4018edeb,Amy,Turner,eevans@butler.info,Marketing,Marketing Specialist,full_time,salary,,9455400,active,2021-01-17,
c74e16da-2083-466d-8a10-8566f892b662,Danielle,Lee,joseph97@obrien.com,Executive,Director,part_time,hourly,3745,,active,2023-11-10,
6f0feb58-8d2d-4291-9db5-d43d58eb597d,Justin,Barker,kenneth46@espinoza.com,Executive,Director,full_time,hourly,5046,,active,2022-12-19,
ba629d98-4d22-436c-aa70-6f19a0726237,Diane,Osborne,henry63@bennett-fisher.biz,Executive,VP,full_time,salary,,9388000,active,2022-05-17,
96c954be-85c0-48f6-afc5-0ada7db67b32,Jackie,Simmons,jbarrera@martinez-woods.com,People Ops,People Ops Manager,part_time,hourly,4493,,terminated,2023-09-11,2024-10-23
c25b3f34-cc91-42be-8f26-f30a5032f7e3,Philip,Liu,apowell@buck.com,Finance,Finance Manager,part_time,hourly,4380,,active,2024-07-22,
718b32b0-daf5-4ef0-afc9-5f4c5cb28588,Edward,Romero,dananguyen@moreno.com,People Ops,HR Generalist,full_time,salary,,11089700,active,2021-09-07,
94b323f2-7e53-4ee7-b6b0-e4adc2f6b0e2,Jason,Green,cookgerald@colon.org,Engineering,QA Engineer,contractor,hourly,2404,,active,2024-12-09,
2f847c66-5b6b-41fa-a5b5-d36d820bbe50,Kathryn,Smith,lwalker@vasquez-nelson.net,Executive,Director,full_time,hourly,1808,,active,2021-02-07,
682f88c7-a779-4fbc-b71f-7005333737c3,Kendra,Hernandez,wayne64@le.org,Marketing,Content Marketer,contractor,hourly,3882,,active,2024-03-18,
17b527be-6c67-4b79-b717-84232f15fb72,Taylor,Garcia,jackhartman@garcia.com,Customer Support,Support Team Lead,full_time,salary,,8928600,active,2024-01-02,
8c58dc80-74d9-4b44-bc08-00ca8609acf4,Jason,Acosta,kennethrogers@porter-dougherty.org,Sales,Sales Development Rep,full_time,salary,,11296100,active,2026-07-14,
42ec1fc3-c1d2-4b88-8509-2f8c188d6430,Sarah,Anderson,david70@roberts.biz,Customer Support,Support Associate,full_time,salary,,15590300,active,2022-10-18,
c63777ff-a940-438c-b9e9-d3187cd91982,James,Thomas,mason36@williams.com,Marketing,Marketing Specialist,part_time,hourly,3560,,active,2020-12-10,
fad6f6b8-5bc6-4d3a-9e99-dfea0c381694,Paul,Lin,bperez@young.com,Warehouse Operations,Warehouse Supervisor,part_time,hourly,3605,,active,2023-05-06,
3e73f356-1339-4949-adb1-27ccf5b87a8f,Kellie,Spencer,muellermorgan@west-anderson.net,Executive,VP,part_time,hourly,5019,,active,2024-12-27,
7da42c67-bf6c-44ed-bfd2-7d75334d73f7,Melissa,Navarro,riddlepatricia@morales-jackson.com,Marketing,Marketing Specialist,full_time,salary,,6688700,active,2024-03-11,
07982c18-ce02-4bad-96a4-316052374b94,Tony,Warren,andreawhitehead@riley.biz,Marketing,Content Marketer,full_time,salary,,8561600,active,2023-03-30,
11a99a0b-2758-4248-a6ec-da7e52d01f28,Crystal,Sanders,christinathornton@jones.com,Engineering,Senior Software Engineer,part_time,hourly,3703,,active,2022-11-27,
b7572a14-14c0-4634-bc99-528a8231167b,Pedro,Allen,lynn10@yang.net,Engineering,Engineering Manager,part_time,hourly,4664,,active,2026-03-21,
24e4cc9a-8dbb-49bf-ba7e-46ff84e9547e,Alicia,Ray,hannah24@choi-kirby.com,People Ops,HR Generalist,full_time,salary,,14033200,active,2022-12-01,
bdd3f611-64d5-4276-8d84-6f5bcc9c9ce3,Julie,Caldwell,masonhanson@moore.org,Customer Support,Support Team Lead,full_time,salary,,6793900,active,2023-08-23,
1454be57-fded-4b54-9d50-89cf465c34d7,Timothy,Wilkins,tayala@alvarez.com,People Ops,HR Generalist,part_time,hourly,5168,,active,2021-12-01,
5620f37d-03c6-4d68-b27f-a3e8d804b1ca,Samuel,Long,jason03@rodriguez.com,Engineering,Senior Software Engineer,full_time,salary,,12765200,active,2023-03-13,
c6bd2a61-82c4-45f4-a158-dd07220d8415,Amy,Schwartz,aaron47@cooper.com,Marketing,Marketing Specialist,part_time,hourly,3688,,active,2021-07-30,
df1d8519-1624-4319-acb6-d164f78ae26a,Kathryn,Bond,johnsoncolleen@hall-brown.com,Marketing,Content Marketer,part_time,hourly,4454,,active,2023-06-16,
8a81ac6f-85e6-419c-9183-2e82f0c41a05,Michael,Mcdonald,jennifer61@white.info,Engineering,Senior Software Engineer,part_time,hourly,2498,,active,2022-01-14,
1c6b05c6-ab8a-4aa6-8f0c-d764fc9baf5c,Lori,Morgan,mark01@davis-hudson.com,Customer Support,Support Associate,full_time,salary,,10526900,active,2024-12-29,
0cdb209c-c94f-4b40-974e-1f3deb0fafeb,Justin,Rivera,qrodriguez@edwards.info,People Ops,People Ops Manager,full_time,salary,,13809100,active,2026-02-27,
e15df04a-450d-407a-a2ab-d572fe5e4525,Hannah,Maldonado,markdixon@cline-holmes.com,Sales,Account Executive,full_time,salary,,11743400,active,2022-03-19,
1e31d825-7cda-4477-9c48-03bbb941c4cc,Ashley,Ellis,fdonovan@frey-jimenez.biz,Warehouse Operations,Picker/Packer,full_time,hourly,1914,,active,2023-01-19,
dca383d9-1431-4b46-aca2-aacdacb218bb,Lauren,Brown,johnsonmargaret@clarke.com,Executive,Director,full_time,hourly,4703,,terminated,2023-05-04,2025-09-14
ab961f8e-c095-44b8-b322-100f50627d59,Jacob,Stewart,marissa37@flowers.com,Warehouse Operations,Warehouse Associate,part_time,hourly,4352,,active,2024-10-25,
bddfdd82-44c2-45d9-a9f1-c713788731e6,Bryan,Arroyo,charles03@benitez.net,Engineering,Software Engineer,full_time,salary,,8076300,active,2021-03-01,
